prestashop_product_id,shobi_code,inspired_by,fragrantica_id,fragrantica_url,image_url,local_path,status,detail
2084,172-SHALM,MOROCCAN MUSK - SCENT SALIM,47982,https://www.fragrantica.com/perfume/Scent-Salim/Moroccan-Musk-47982.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.47982.avif,perfume-images/47982.avif,DOWNLOADED,image/avif
735,658-ARM,SI PASSIONE,48002,https://www.fragrantica.com/perfume/Giorgio-Armani/Si-Passione-48002.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.48002.avif,perfume-images/48002.avif,DOWNLOADED,image/avif
842,794-LAN,LA NUIT TRESOR A LA FOLIE,48019,https://www.fragrantica.com/perfume/Lancome/La-Nuit-Tresor-a-la-Folie-48019.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.48019.avif,perfume-images/48019.avif,DOWNLOADED,image/avif
1256,372-TMFO,VANILLE FATALE,48029,https://www.fragrantica.com/perfume/Tom-Ford/Vanille-Fatale-48029.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.48029.avif,perfume-images/48029.avif,DOWNLOADED,image/avif
2112,108-ARM,BLEU LAZULI,48059,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Prive-Bleu-Lazuli-48059.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.48059.avif,perfume-images/48059.avif,DOWNLOADED,image/avif
3819,2218-ARM,BLEU TURQUOISE,48060,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Prive-Bleu-Turquoise-48060.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.48060.avif,perfume-images/48060.avif,DOWNLOADED,image/avif
1900,486-CAR,Good Girl Légère,48103,https://www.fragrantica.com/perfume/Carolina-Herrera/Good-Girl-Legere-48103.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.48103.avif,perfume-images/48103.avif,DOWNLOADED,image/avif
564,464-CAC,YES I AM,48112,https://www.fragrantica.com/perfume/Cacharel/Yes-I-Am-48112.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.48112.avif,perfume-images/48112.avif,DOWNLOADED,image/avif
217,1124-ARM,ACQUA DI GIO ABSOLU,48138,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Absolu-48138.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.48138.avif,perfume-images/48138.avif,DOWNLOADED,image/avif
645,555-DOL,DOLCE GARDEN,48151,https://www.fragrantica.com/perfume/Dolce-Gabbana/Dolce-Garden-48151.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.48151.avif,perfume-images/48151.avif,DOWNLOADED,image/avif
602,507-CHA,COCON MADEM INTENSE,48310,https://www.fragrantica.com/p/48310,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.48310.avif,perfume-images/48310.avif,DOWNLOADED,image/avif
2059,283-JOM,Poppy & Barley Jo Malone,48316,https://www.fragrantica.com/perfume/Jo-Malone-London/Poppy-Barley-48316.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.48316.avif,perfume-images/48316.avif,DOWNLOADED,image/avif
2400,1655-JOM,Oat & Cornflower by Jo Malone London,48318,https://www.fragrantica.com/perfume/Jo-Malone-London/Oat-Cornflower-48318.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.48318.avif,perfume-images/48318.avif,DOWNLOADED,image/avif
2743,543-DRC,SOUFFLE DE SOIE,48377,https://www.fragrantica.com/perfume/Dior/Souffle-De-Soie-48377.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.48377.avif,perfume-images/48377.avif,DOWNLOADED,image/avif
4324,2508-DRC,Gris,48387,https://www.fragrantica.com/p/48387,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.48387.avif,perfume-images/48387.avif,DOWNLOADED,image/avif
1934,1072-DRC,BALADE SAUVAGE,48398,https://www.fragrantica.com/perfume/Dior/Balade-Sauvage-48398.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.48398.avif,perfume-images/48398.avif,DOWNLOADED,image/avif
610,515-CHL,NOMADE - CHLOE,48434,https://www.fragrantica.com/perfume/Chloe/Nomade-48434.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.48434.avif,perfume-images/48434.avif,DOWNLOADED,image/avif
2226,140-KUR,OUD SILK MOOD,48456,https://www.fragrantica.com/perfume/Maison-Francis-Kurkdjian/Oud-Silk-Mood-48456.html,https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.48456.avif,perfume-images/48456.avif,DOWNLOADED,image/avif
