prestashop_product_id,shobi_code,inspired_by,original_brand,original_perfume,identity_status,fragrantica_status,fragrantica_id,fragrantica_url,social_card_url,local_path,card_status,bytes,sha256,error
4217,2507-SERG,FIVE O CLOCK AU GINGEMBRE by SERGE LUTENS,Serge Lutens,FIVE O CLOCK AU GINGEMBRE by SERGE LUTENS,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4216,2518-MATAH,ESCAPADE GOURMANDE MAISON MATAHA,maison-mataha,Escapade-gourmande,CONFIRMED,FOUND,72607,https://www.fragrantica.com/perfume/Maison-Mataha/Escapade-Gourmande-72607.html,https://fimgs.net/mdimg/perfume-social-cards/en-p_c_72607.jpeg,fragrantica-scraper-archive/social-cards/images/4216_2518-MATAH_72607.jpeg,EXISTS,105252,886cfe6e71d9bf051a3f1609888504ac29906b3ed32993d8781c69687f9e2489,
4215,,Sauvage Eau Forte,Dior,Sauvage-eau-forte,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4214,2513-PAC,MILLION GOLD MAN,Rabanne,Million Gold,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4213,2509-CRIVEL,OUD MARACUJA - CRIVELLI,Maison Crivelli,Oud-maracuja,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4212,2491-LEL,BAIE 19 - LE LABO,Le Labo,Baie-19,CONFIRMED,FOUND,57513,https://www.fragrantica.com/perfume/Le-Labo/Baie-19-57513.html,https://fimgs.net/mdimg/perfume-social-cards/en-p_c_57513.jpeg,fragrantica-scraper-archive/social-cards/images/4212_2491-LEL_57513.jpeg,EXISTS,99598,d752250b31229eced02f17f703aac6c72667287c6fff59d4dfcdd97d1dbc3cf6,
4211,2497-XER,Wardasina,Xerjoff,Wardasina,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4210,2474-XER,Dama Bianca,Xerjoff,Dama Bianca,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4209,2499-VICT,FRESH SNOWFALL VICTORIA'S SECRET,Victoria s Secret,Fresh-snowfall,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4208,2473-HER,BARENIA - HERMES,Hermes,Barenia-eau-de-,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4207,2470-KAY,MAUI IN A BOTTLE SWEET BANANA - KAYALI,Kayali,Maui-in-a-bottle-sweet-banana-37,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4206,2471-SOS,PASTICCIO - SOSPIRO,Sospiro,Pasticcio,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4205,2472-VIC,GOOD FORTUNE,Viktor Rolf,Good-fortune,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
4204,2469-ROJ,AMBER AOUD - ROJA DOVE,Roja Parfums,AMBER AOUD - ROJA DOVE,CONFIRMED,UNRESOLVED,,,,,NO_CONFIRMED_ID,,,
