prestashop_product_id,shobi_code,fragrantica_id,gender,gender_source,gender_ocr_text,winter,spring,summer,fall,main_season,season_confidence,season_margin,local_path,actual_longest,actual_longest_value,runner_up,runner_up_value,actual_margin
2282,1490-DRC,58714,male,SOCIAL_CARD_OCR,dior homme dior eee for men j main accords dior homme dior for men main accords vie,0.2444,0.2989,0.2741,0.3063,TIE,TIE,0.0074,fragrantica-scraper-archive/social-cards/images/2282_1490-DRC_58714.jpeg,fall,0.3063,spring,0.2989,0.0074
2280,1520-YZLO,62318,female,SOCIAL_CARD_OCR,lipre intense yves saint laurent pesaee ne for women ie main accords ro i vanilla a ee libre intense yves saint laurent me for women main accords vanilla,0.4185,0.1550,0.1074,0.4354,TIE,TIE,0.0169,fragrantica-scraper-archive/social-cards/images/2280_1520-YZLO_62318.jpeg,fall,0.4354,winter,0.4185,0.0169
2270,1479-HER,59799,unisex,SOCIAL_CARD_OCR,my gered i ees l ombre des mervellles hermes ree for women and men main accords amber es ee cc nee lombre des mervelilles hermes for women and men main accords,0.2222,0.3653,0.2741,0.3616,TIE,TIE,0.0037,fragrantica-scraper-archive/social-cards/images/2270_1479-HER_59799.jpeg,spring,0.3653,fall,0.3616,0.0037
2269,1528-KUR,46066,unisex,SOCIAL_CARD_OCR,baccarat houge extrait de partum oe maison francis kurkdjian ce for women and men eh main accords baccarat houge extrait de partum maison francis kurkdjian my for women and men main accords,0.3741,0.3653,0.1111,0.3875,TIE,TIE,0.0134,fragrantica-scraper-archive/social-cards/images/2269_1528-KUR_46066.jpeg,fall,0.3875,winter,0.3741,0.0134
2245,1546-TMFO,62707,unisex,SOCIAL_CARD_OCR,teaioy ce a bitter peacn tom ford ceeee for women and men main accords a oo ues son cose bitter peach tom ford bal for women and men ss main accords,0.1963,0.3653,0.2741,0.3616,TIE,TIE,0.0037,fragrantica-scraper-archive/social-cards/images/2245_1546-TMFO_62707.jpeg,spring,0.3653,fall,0.3616,0.0037
2244,1548-TMFO,56737,unisex,SOCIAL_CARD_OCR,w capa neat soleil ne ge eee or a srt tom ford erie for women and men main accords white floral es soleil nergze bay tom ford at mal for women and men main accords white floral es,0.2926,0.3100,0.2481,0.2325,TIE,TIE,0.0174,fragrantica-scraper-archive/social-cards/images/2244_1548-TMFO_56737.jpeg,spring,0.3100,winter,0.2926,0.0174
2241,1549-TMFO,31696,unisex,SOCIAL_CARD_OCR,venetian bergamot tom ford erat for women and men main accords es fy hia venetian bergamot ee tom ford at for women and men main accords fy,0.1259,0.3875,0.3778,0.2878,TIE,TIE,0.0097,fragrantica-scraper-archive/social-cards/images/2241_1549-TMFO_31696.jpeg,spring,0.3875,summer,0.3778,0.0097
2238,134-KUR,15566,male,SOCIAL_CARD_OCR,shae page amyris homme exter hao maison francis kurkdjian sears for men i main accords amat fs amyris homme maison francis kurkdjian formen main accords,0.1259,0.3653,0.3481,0.2768,TIE,TIE,0.0172,fragrantica-scraper-archive/social-cards/images/2238_134-KUR_15566.jpeg,spring,0.3653,summer,0.3481,0.0172
2237,147-NAS,12130,male,SOCIAL_CARD_OCR,sa ah pardon oo nasomatto eunden for men main accords warm spicy a net a he on pardon ee on nasomatto for men main accords,0.4556,0.1550,0.1074,0.4428,TIE,TIE,0.0128,fragrantica-scraper-archive/social-cards/images/2237_147-NAS_12130.jpeg,winter,0.4556,fall,0.4428,0.0128
2233,161-PEN,54665,unisex,SOCIAL_CARD_OCR,cairo penhaligon s pata ira for women and men main accords r cairo ah pal fadl penhaligon s for women and men main accords,0.4185,0.1550,0.1074,0.4244,TIE,TIE,0.0058,fragrantica-scraper-archive/social-cards/images/2233_161-PEN_54665.jpeg,fall,0.4244,winter,0.4185,0.0059
2232,129-LEL,3678,unisex,SOCIAL_CARD_OCR,fe aa ard rose wee le labo ated pecs for women and men main accords iio od wz bata rose met sy ht le labo a rat for women and men main accords,0.2000,0.3653,0.2741,0.3616,TIE,TIE,0.0037,fragrantica-scraper-archive/social-cards/images/2232_129-LEL_3678.jpeg,spring,0.3653,fall,0.3616,0.0037
2227,137-KUR,40816,unisex,SOCIAL_CARD_OCR,pata grand soir maison francis kurkdjian sa for women and men main accords grand soir maison francis kurkdjian for women and men main accords,0.4778,0.1218,0.1074,0.4649,TIE,TIE,0.0128,fragrantica-scraper-archive/social-cards/images/2227_137-KUR_40816.jpeg,winter,0.4778,fall,0.4649,0.0129
2226,140-KUR,48456,unisex,SOCIAL_CARD_OCR,oud silk mood cs u maison francis kurkdjian arene for women and men main accords a oud suk mood maison francis kurkdjian for women and men main accords rose a,0.3963,0.2103,0.1074,0.3764,TIE,TIE,0.0199,fragrantica-scraper-archive/social-cards/images/2226_140-KUR_48456.jpeg,winter,0.3963,fall,0.3764,0.0199
2220,461-CAC,246,female,SOCIAL_CARD_OCR,pane apt cm gloria os se ciaie e etia cacharel at rao em for women main accords ore almond i gloria bee a cacharel fot for women main accords almond a a,0.3741,0.2362,0.1370,0.3764,TIE,TIE,0.0023,fragrantica-scraper-archive/social-cards/images/2220_461-CAC_246.jpeg,fall,0.3764,winter,0.3741,0.0023
2218,826-MIS,45063,female,SOCIAL_CARD_OCR,fae een babe power missguided ae for women q main accords vi i ei aa babe power missguided for women main accords oy,0.3556,0.3653,0.2741,0.3616,TIE,TIE,0.0037,fragrantica-scraper-archive/social-cards/images/2218_826-MIS_45063.jpeg,spring,0.3653,fall,0.3616,0.0037
2217,1217-MONT,2381,male,SOCIAL_CARD_OCR,ee cigar montana homme montana bs sain for men mains main accords pa citrus sa montana homme montana rag for men main accords mee citrus sa,0.1296,0.3542,0.3481,0.3616,TIE,TIE,0.0074,fragrantica-scraper-archive/social-cards/images/2217_1217-MONT_2381.jpeg,fall,0.3616,spring,0.3542,0.0074
2215,1003-ACQ,31424,unisex,SOCIAL_CARD_OCR,ip gare cotonia club as acqua di parma hear on for women and men ie ae colonia club acqua di parma a for women and men main accords ss,0.1259,0.4244,0.4185,0.1882,TIE,TIE,0.0058,fragrantica-scraper-archive/social-cards/images/2215_1003-ACQ_31424.jpeg,spring,0.4244,summer,0.4185,0.0059
2209,136-KUR,53400,unisex,SOCIAL_CARD_OCR,gentle fluidity silver maison francis kurkdjian cc for women and men main accords gentle fluidity silver for women and men maison francis kurkdjian main accords,0.1259,0.3653,0.3704,0.2214,TIE,TIE,0.0051,fragrantica-scraper-archive/social-cards/images/2209_136-KUR_53400.jpeg,summer,0.3704,spring,0.3653,0.0051
2206,703-HER,1335,female,SOCIAL_CARD_OCR,kelly caleche hermes vue for women main accords cs a ate a kelly caleche ic for women hermes main accords leather a,0.1519,0.3875,0.1815,0.3875,TIE,TIE,0.0000,fragrantica-scraper-archive/social-cards/images/2206_703-HER_1335.jpeg,spring,0.3875,fall,0.3875,0.0000
2196,109-ARM,55282,unisex,SOCIAL_CARD_OCR,giorgio armani os for women and men main accords a musky ate oe ete muse shamal red ey ore giorgio armani ee ol for women and men main accords musky,0.3370,0.3653,0.1704,0.3616,TIE,TIE,0.0037,fragrantica-scraper-archive/social-cards/images/2196_109-ARM_55282.jpeg,spring,0.3653,fall,0.3616,0.0037
2191,120-INI,30989,unisex,SOCIAL_CARD_OCR,cy oe sete absolute aphrodisiac initio parfums prives sees for women and men main accords vanilla ee rd absolute aphrodisiac initio parfums prives for women and men main accords vanilla ee,0.4778,0.1218,0.1074,0.4649,TIE,TIE,0.0128,fragrantica-scraper-archive/social-cards/images/2191_120-INI_30989.jpeg,winter,0.4778,fall,0.4649,0.0129
2190,123-INI,45977,unisex,SOCIAL_CARD_OCR,psychedelic love ae initio parfums prives eee for women and men a main accords powdery a psychedelic love initio parfums prives for women and men main accords powdery a,0.4000,0.2435,0.1074,0.3875,TIE,TIE,0.0125,fragrantica-scraper-archive/social-cards/images/2190_123-INI_45977.jpeg,winter,0.4000,fall,0.3875,0.0125
2150,922-TMU,61519,female,SOCIAL_CARD_OCR,angel nova mugler ae for women main accords wy f eee angel nova mugler ts for women main accords,0.1519,0.3653,0.3741,0.1771,TIE,TIE,0.0088,fragrantica-scraper-archive/social-cards/images/2150_922-TMU_61519.jpeg,summer,0.3741,spring,0.3653,0.0088
