prestashop_product_id,shobi_code,original_brand,original_perfume,old_fragrantica_id,new_fragrantica_id,fragrantica_url,result,providers,note
4258,2532-PRA,Prada,Cargo-de-nuit,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4257,2539-CRIVEL,Maison Crivelli,Tubereuse-astrale,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4256,2538-GUL,Jean Paul Gaultier,Le-male-lover,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4255,2520-PEN,Penhaligon's,Empressa Eau de Parfum,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4254,2521-SOL,Sol de Janeiro,Carioca-crush,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4253,2540-COM,Comme des Garons,Concrete,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4252,2541-STE,Stephane Humbert Lucas,God-of-fire,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4251,2481-MARG,Maison Margiela,When-the-rain-stops-1,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4250,2478-MARG,Maison Margiela,Untitled,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4247,2477-MARG,Maison Margiela,Whispers-in-the-library,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4246,2476-MARG,Maison Margiela,At-the-barber-s,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4245,2522-VIC,Viktor Rolf,Spicebomb-dark-leather,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4244,2519-MNT,Montale,Starry Nights,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
4243,2517-MNTB,Montblanc,Legend-blue,,,,UNRESOLVED,bing-rss:0|ddg-html:ERR:URLError|bing:0,no candidates
