prestashop_product_id,shobi_code,brand,perfume,inspired_by,reference,shobi_url,fragrantica_id,gender,season,main_notes,status,source
4821,196-BELLA,,,1970 Eau de Parfum,,https://leparfum.com.gr/en/elegants-fragrances/196-bella,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2726,197-BON,,,Harrods Royal Rose,,https://leparfum.com.gr/en/niche-perfumes/harrods-royal-rose-bond-no9-similar-type,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2727,198-BON,,,Harrods Swarovski Limited Edition,,https://leparfum.com.gr/en/niche-perfumes/swarovski-bond-no9-similar-fragrance,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
4823,199-CARO,,,Pour Un Homme de Caron,,https://leparfum.com.gr/en/elegants-fragrances/199-caro,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
,200-CIR,,,ERNESTO CHE GUEVARA,,,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2720,201-CLIV,,,No-1-for-men,,https://leparfum.com.gr/en/niche-perfumes/no1-for-men-clive-christian-similar-type,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
,202-CLIV,,,No. 1 FOR WOMEN,,,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2113,203-CLIV,,,X-for-men,,https://leparfum.com.gr/en/niche-perfumes/203-cliv-n,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1110,204-CRD,,,Avent,,https://leparfum.com.gr/en/elegants-fragrances/204-crd-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1111,205-CRD,,,aven for her,,https://leparfum.com.gr/en/elegants-fragrances/205-crd-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2736,206-CRD,,,Bois du Portu,,https://leparfum.com.gr/en/elegants-fragrances/206-crd-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1113,207-CRD,,,HIMALAYIA,,https://leparfum.com.gr/en/elegants-fragrances/207-crd-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2085,208-CRD,,,Fantasia De Fleurs,,https://leparfum.com.gr/en/elegants-fragrances/208-crd-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
2737,209-CRD,,,Fleurissimo,,https://leparfum.com.gr/en/elegants-fragrances/209-crd-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1114,210-CRD,,,Green Irish Tweed,,https://leparfum.com.gr/en/elegants-fragrances/210-crd-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
1115,211-CRD,,,Love In White,,https://leparfum.com.gr/en/elegants-fragrances/211-crd-el,,,,,ACTIVE_MASTER_V2,VERIFIED_OPERATIONAL_DB_2026-09-06
