prestashop_product_id,shobi_code,old_inspired_by,recovered_inspired_by,source,url
1904,314-MOL,,ziao jao molton brown,url_slug,https://leparfum.com.gr/en/elegants-fragrances/ziao-jao-molton-brown-type
1895,999-ABE,,first instinct abercrombie fitch,url_slug,https://leparfum.com.gr/en/fragrances-for-men/first-instinct-abercrombie-fitch-type
1882,1090-COS,,costume national,url_slug,https://leparfum.com.gr/en/fragrances-for-men/costume-national-fragrance-type
1881,1091-COS,,scent intense costume national u,url_slug,https://leparfum.com.gr/en/fragrances-for-women/scent-intense-costume-national-u-type
1839,233-ESCE,,escentric 02 dupe,url_slug,https://leparfum.com.gr/en/elegants-fragrances/escentric-02-dupe-perfume
1776,1187-JOV,,white musk jovan,url_slug,https://leparfum.com.gr/en/fragrances-for-men/white-musk-jovan-type
1775,848-NRO,,pure musk for her narciso rodriguez,url_slug,https://leparfum.com.gr/en/fragrances-for-women/pure-musk-for-her-narciso-rodriguez-type
1771,731-JIM,,fever jimmy choo dupe,url_slug,https://leparfum.com.gr/en/fragrances-for-women/fever-jimmy-choo-dupe
1762,1188-KAR,,bois de vetiver karl lagerfeld,url_slug,https://leparfum.com.gr/en/fragrances-for-men/bois-de-vetiver-karl-lagerfeld-type
1419,,,huboob yas arabic,url_slug,https://leparfum.com.gr/en/arabian-perfumes/huboob-yas-arabic-perfume
1416,175-SHA,,opulent shaik classic no 33 shaik,url_slug,https://leparfum.com.gr/en/arabian-perfumes/opulent-shaik-classic-no-33-shaik-type
1415,168-RAS,,daarej for women rasasi,url_slug,https://leparfum.com.gr/en/arabian-perfumes/daarej-for-women-rasasi-perfume-type
1267,384-YAR,,english rose yardley,url_slug,https://leparfum.com.gr/en/elegants-fragrances/english-rose-yardley-perfume-type
1266,382-YAN,,pomegranate cider yankee candles,url_slug,https://leparfum.com.gr/en/elegants-fragrances/pomegranate-cider-yankee-candles-clones
1265,381-YAN,,fresh cut roses yankee candles dupe,url_slug,https://leparfum.com.gr/en/elegants-fragrances/fresh-cut-roses-yankee-candles-dupe
1264,380-YAN,,fall festival yankee candles smells,url_slug,https://leparfum.com.gr/en/elegants-fragrances/fall-festival-yankee-candles-smells
1263,379-YAN,,clean cotton yankee candles,url_slug,https://leparfum.com.gr/en/elegants-fragrances/clean-cotton-yankee-candles-fragrance
1230,334-SHI,,shirley may fragrance dupe,url_slug,https://leparfum.com.gr/en/elegants-fragrances/shirley-may-fragrance-dupe
1226,332-RAM,,dry wood ramon monegal,url_slug,https://leparfum.com.gr/en/elegants-fragrances/dry-wood-ramon-monegal-clone
1225,331-PG,,crystal water water lily pg,url_slug,https://leparfum.com.gr/en/elegants-fragrances/crystal-water-water-lily-pg-similar
1224,330-PG,,oriental blossom pg,url_slug,https://leparfum.com.gr/en/elegants-fragrances/oriental-blossom-pg-type
1222,327-PECK,,mistraal pecksniff eaudeparfum,url_slug,https://leparfum.com.gr/en/elegants-fragrances/mistraal-pecksniff-eaudeparfum
1221,326-PECK,,calm pecksniff s,url_slug,https://leparfum.com.gr/en/elegants-fragrances/calm-pecksniff-s-clones-fragrances
1220,325-PECK,,black oak cedar pecksniff s aroma,url_slug,https://leparfum.com.gr/en/elegants-fragrances/black-oak-cedar-pecksniff-s-aroma
1216,321-NAS,,black afgano nasomatto,url_slug,https://leparfum.com.gr/en/elegants-fragrances/black-afgano-nasomatto-clone
1213,316-MNT,,316 mnt el,url_slug,https://leparfum.com.gr/en/elegants-fragrances/316-mnt-el-fragrance
1210,313-MOL,,thai vert molton brown,url_slug,https://leparfum.com.gr/en/elegants-fragrances/thai-vert-molton-brown-type
1209,312-MOL,,black pepper molton brown,url_slug,https://leparfum.com.gr/en/elegants-fragrances/black-pepper-molton-brown-type
1206,309-LOC,,309 loc el,url_slug,https://leparfum.com.gr/en/elegants-fragrances/309-loc-el
1205,308-LOC,,citrus verbena l occitane dupe,url_slug,https://leparfum.com.gr/en/elegants-fragrances/citrus-verbena-l-occitane-dupe
1204,307-LOC,,peony occitane,url_slug,https://leparfum.com.gr/en/elegants-fragrances/peony-occitane-type
1144,236-IND,,236 ind el,url_slug,https://leparfum.com.gr/en/elegants-fragrances/236-ind-el
1143,235-HOLL,,235 holl el,url_slug,https://leparfum.com.gr/en/elegants-fragrances/235-holl-el
1106,200-CIR,,200 cir el,url_slug,https://leparfum.com.gr/en/elegants-fragrances/200-cir-el
999,,,white musk,url_slug,https://leparfum.com.gr/en/fragrances-for-women/white-musk-perfume
972,941-VAN,,feerie sping blossom van cleef arpels,url_slug,https://leparfum.com.gr/en/fragrances-for-women/feerie-sping-blossom-van-cleef-arpels-type
971,1270-VAN,,bois dore van cleef arpels,url_slug,https://leparfum.com.gr/en/fragrances-for-women/bois-dore-van-cleef-arpels-type
961,927-TOUZ,,rosa tous,url_slug,https://leparfum.com.gr/en/fragrances-for-women/rosa-tous-type
960,926-TOM,,tomy girl tommy hilfiger,url_slug,https://leparfum.com.gr/en/fragrances-for-women/tomy-girl-tommy-hilfiger-type
953,917-SWA,,aura intense swarovski,url_slug,https://leparfum.com.gr/en/fragrances-for-women/aura-intense-swarovski-type
952,916-SOF,,love sofia vergara,url_slug,https://leparfum.com.gr/en/fragrances-for-women/love-sofia-vergara-type
951,915-SIS,,izia sisley,url_slug,https://leparfum.com.gr/en/fragrances-for-women/izia-sisley-type
950,914-SIS,,eau tropicale sisley,url_slug,https://leparfum.com.gr/en/fragrances-for-women/eau-tropicale-sisley-type-perfume
949,913-SIS,,eau du soir sisley,url_slug,https://leparfum.com.gr/en/fragrances-for-women/eau-du-soir-sisley-type
948,912-SHIS,,zen shiseido,url_slug,https://leparfum.com.gr/en/fragrances-for-women/zen-shiseido-clone-fragrance
947,911-SEPH,,fleur de coton sephora,url_slug,https://leparfum.com.gr/en/fragrances-for-women/fleur-de-coton-sephora-perfumes
946,910-SARJ,,lovely sara jessica parker,url_slug,https://leparfum.com.gr/en/fragrances-for-women/lovely-sara-jessica-parker-clone
945,909-SFER,,tuscan scent white mimosa ferragamo dupe,url_slug,https://leparfum.com.gr/en/fragrances-for-women/tuscan-scent-white-mimosa-ferragamo-dupe
944,908-SFER,,signorina misteriosa ferragamo,url_slug,https://leparfum.com.gr/en/fragrances-for-women/signorina-misteriosa-ferragamo-clone
943,907-SFER,,signorina ferragamo dupe,url_slug,https://leparfum.com.gr/en/fragrances-for-women/signorina-ferragamo-dupe-fragrance
942,906-SFER,,emozione sferragamo dupe,url_slug,https://leparfum.com.gr/en/fragrances-for-women/emozione-sferragamo-dupe
941,905-SFER,,amo ferragamo,url_slug,https://leparfum.com.gr/en/fragrances-for-women/amo-ferragamo-perfume
940,902-SALV,,dalissime salvador dali,url_slug,https://leparfum.com.gr/en/fragrances-for-women/dalissime-salvador-dali-clone
939,904-SALV,,dali parfum salvador dali,url_slug,https://leparfum.com.gr/en/fragrances-for-women/dali-parfum-salvador-dali-similar-fragrance
914,874-PRA,,CANDY GLOSS - PRADA,description,https://leparfum.com.gr/en/fragrances-for-women/874-pra-wp
913,873-PRA,CANDY FLORALE - PRADA,873 pra wp,url_slug,https://leparfum.com.gr/en/fragrances-for-women/873-pra-wp
911,871-PIER,,ivoire pierre balmain type arvmata,url_slug,https://leparfum.com.gr/en/fragrances-for-women/ivoire-pierre-balmain-type-arvmata
910,870-PIER,,extatic intense gold pierre balmain,url_slug,https://leparfum.com.gr/en/fragrances-for-women/extatic-intense-gold-pierre-balmain-type
909,869-PIER,,extatic pierre balmain,url_slug,https://leparfum.com.gr/en/fragrances-for-women/extatic-pierre-balmain-type
908,868-PARH,,heirless paris hilton,url_slug,https://leparfum.com.gr/en/fragrances-for-women/heirless-paris-hilton-clone
907,867-PAL,,paloma picasso,url_slug,https://leparfum.com.gr/en/fragrances-for-women/paloma-picasso-perfume-type
849,804-LOE,,804 loe wp,url_slug,https://leparfum.com.gr/en/fragrances-for-women/804-loe-wp
827,772-LAD,,fame lady gaga similar parfum,url_slug,https://leparfum.com.gr/en/fragrances-for-women/fame-lady-gaga-similar-parfum
826,771-LAP,,silver rain la prairie,url_slug,https://leparfum.com.gr/en/fragrances-for-women/silver-rain-la-prairie-type
825,770-LAP,,midnight rain la prairie,url_slug,https://leparfum.com.gr/en/fragrances-for-women/midnight-rain-la-prairie-type
808,746-KAR,,ocean view karl lagerfeld,url_slug,https://leparfum.com.gr/en/fragrances-for-women/ocean-view-karl-lagerfeld-type
807,745-KAR,,karl lagerfeld for her,url_slug,https://leparfum.com.gr/en/fragrances-for-women/karl-lagerfeld-for-her-type
806,744-JUS,,the key justin bieber,url_slug,https://leparfum.com.gr/en/fragrances-for-women/the-key-justin-bieber-clone
805,743-JUS,,girlfriend justin bieber,url_slug,https://leparfum.com.gr/en/fragrances-for-women/girlfriend-justin-bieber-perfume
804,742-JUI,,viva la juicy sucre couture,url_slug,https://leparfum.com.gr/en/fragrances-for-women/viva-la-juicy-sucre-couture-type
803,741-JUI,,viva la juicy rose couture,url_slug,https://leparfum.com.gr/en/fragrances-for-women/viva-la-juicy-rose-couture-type
802,739-JUI,,viva la juicy gold couture juicy couture,url_slug,https://leparfum.com.gr/en/fragrances-for-women/viva-la-juicy-gold-couture-juicy-couture-similar-type
801,738-JUI,,viva la juicy couture,url_slug,https://leparfum.com.gr/en/fragrances-for-women/viva-la-juicy-couture-similar
800,737-JUI,,juicy couture malibu juicy couture arwma,url_slug,https://leparfum.com.gr/en/fragrances-for-women/juicy-couture-malibu-juicy-couture-arwma
