prestashop_product_id,shobi_code,shobi_name,reference,reference_prefix,inspired_by,category,price_from_eur,official_description,url,first_seen,last_seen,status,classification_rule,source
4288,2559-LAT,2559-LAT EL,EL406,EL,Ra'ed Silver Lattafa Perfumes,Elegants Fragrances,10.0,"2559-LAT EL Inspired by the fragrance notes of Ra'ed Silver Lattafa Perfumes. Uniesex perfume warm spicy, citrus, vanilla, amber, cinnamon, powdery, animalic.",https://leparfum.com.gr/en/elegants-fragrances/2559-lat-el,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4286,2554-JOM,2554-JOM EL,EL405,EL,Orange Marmalade Jo Malone,Elegants Fragrances,10.0,"2554-JOM Inspired by the fragrance notes of Orange Marmalade Jo Malone. A bright, juicy and deliciously sweet citrus fragrance inspired by a jar of freshly made orange marmalade — cheerful, warm and mouth‑watering.",https://leparfum.com.gr/en/elegants-fragrances/2554-jom-el,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4285,2556-LAT,2556-LAT EL,EL404,EL,Yara Moi Lattafa Perfumes,Elegants Fragrances,10.0,"2556-LAT EL Inspired by the fragrance notes of Yara Moi Lattafa Perfumes. For women perfume woody, white floral, patchouli, caramel, warm spicy, powdery, sweet, amber.",https://leparfum.com.gr/en/elegants-fragrances/2556-lat-el,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4284,2557-ARIA,2557-ARIA W,WP832,WP,God Is A Woman Ariana Grande,Fragrances For Women,9.0,"2557-ARIA W Inspired by the fragrance notes of God Is A Woman Ariana Grande. Women's perfume fruity, sweet, aquatic, powdery, vanilla, musky, floral, fresh, woody, iris.",https://leparfum.com.gr/en/fragrances-for-women/2557-aria-w,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4283,2567-SOL,2567-SOL EL,EL403,EL,Cheirosa '71 Sol de Janeiro,Elegants Fragrances,10.0,"2567-SOL EL Inspired by the fragrance notes of Cheirosa '71 Sol de Janeiro. For women perfume sweet, caramel, vanilla, nutty, salty, chocolate, powdery.",https://leparfum.com.gr/en/elegants-fragrances/2567-sol-el,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4281,2546-MEM,2546-MEM N,AR472,AR,Moroccan Leather Memo Paris,Niche Perfumes,15.0,2546-MEM Inspired by the fragrance notes of Moroccan Leather Memo Paris.,https://leparfum.com.gr/en/niche-perfumes/2546-mem-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4280,2545-MEM,2545-MEM N,AR471,AR,Kedu Sesame Memo Paris,Niche Perfumes,15.0,2545-MEM Inspired by the fragrance notes of Kedu Sesame Memo Paris.,https://leparfum.com.gr/en/niche-perfumes/2545-mem-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4279,2536-PRA,2536-PRA W,WP831,WP,Paradoxe Virtual Flower Prada,Fragrances For Women,9.0,"2536-PRA W Inspired by the fragrance of Paradoxe Virtual Flower Prada. Fragrance white floral, musky, citrus, floral, fresh spicy, aromatic, powdery, fresh.",https://leparfum.com.gr/en/fragrances-for-women/2536-pra-w,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4278,2569-GOLD,2569-GOLD N,AR470,AR,Ingenious Ginger Goldfield & Banks Australia,Niche Perfumes,15.0,"Inspired by the fragrance of Ingenious Ginger Goldfield & Banks Australia. Unisex perfume citrus, fresh spicy, powdery, woody, vanilla, fresh, musky, amber.",https://leparfum.com.gr/en/niche-perfumes/2569-gold-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
4277,2571-GOLD,2571-GOLD N,AR469,AR,Silky Woods Goldfield & Banks Australia,Niche Perfumes,15.0,"Inspired by the fragrance of Silky Woods Goldfield & Banks Australia. Unisex perfume vanilla, powdery, warm spicy, leather, musky, woody, tobacco, oud, sweet, cinnamon.",https://leparfum.com.gr/en/niche-perfumes/2571-gold-n,2026-08-20,2026-08-20,ACTIVE,Choose+Bottle+Extra Essence,SHOBI_LIVE_SHOW_ALL
