shobi_code,brand,perfume,result,fragrantica_id,fragrantica_url,candidate_brand,candidate_perfume,score,provider,note
412-BOD,The Body Shop,White Musk L Eau,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2059-NARC,Narcotica,Dulce Diablo,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2148-BAT,Bath Body Works,Pure-wonder-eau-de-,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2149-ESC,Escada,Santorini-sunrise,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2057-ESCE,Escentric Molecules,MOLECULE 01 + BLACK TEA - ESCENTRIC,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2137-ROJ,Roja Parfums,GREAT BRITAIN - ROJA DOVE,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2055-BAT,Bath Body Works,Dream-bright-eau-de-,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2112-GUC,Gucci,Rush Man,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2036-GIS,Gisada,Ambassador Men Eau de Parfum,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2094-SHIS,Shiseido,Ever Bloom,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2098-MIC,Michael Kors,Twilight Shimmer,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2096-KEN,Kenzo,Parfum D Ete,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2051-PRFRO,Profumum Roma,Acqua Di Sale,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2085-CLIV,Clive Christian,X NEROLI LIMITED EDITION - CLIVE CHRISTIAN,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2028-ZARK,Zarko Perfume,Youth,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2021-ROJ,Roja Parfums,Apex Roja Dove,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1984-ATTAR,Attar Collection,Musk Kashmir,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
2016-PARELM,Parfums d'Elmar,Elixir d'Amour,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1926-KOS,Thomas Kosmala,No. 4 Après l’Amour Eau de Parfum,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1988-THEVE,The Merchant Of Venice,Arabesque,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1987-SON,Sonia Rykiel,Le Parfum,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1985-WID,Widian,GOLD II SAHARA - WIDIAN,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
1958-DRC,Dior,Bois-d-argent-eau-de-,UNRESOLVED,,,,,,fragrantica-search:ERR:HTTPError|bing-rss:0|bing:0,no candidates
