shobi_code,prestashop_product_id,shobi_inspired_by,classification,reason,fragrantica_id,fragrantica_brand,fragrantica_perfume,fragrantica_url,match_type,score,identity_score,identity_gate
173-SOS,1923,Accento Sospiro,VERIFIED,EXACT_BRAND_CLEAN_NAME,13816,Sospiro Perfumes,Accento,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Accento-13816.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
174-SOS,2051,Erba Pura,VERIFIED,EXACT_PERFUME_BRAND_TEXT,18652,Sospiro Perfumes,Erba Pura,https://www.fragrantica.com/perfume/Sospiro-Perfumes/Erba-Pura-18652.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
175-SHA,1416,Opulent Shaik Classic No. 33 Eau de Parfum,VERIFIED,WEB_VERIFIED_FRAGRANTICA,2776,Shaik,Opulent Shaik Classic No 33,https://www.fragrantica.com/perfume/Shaik/Opulent-Shaik-Classic-No-33-2776.html,WEB_VERIFIED_FRAGRANTICA,1.0000,1.0000,PASS
176-THAM,2236,Peregrina,VERIFIED,WEB_VERIFIED_FRAGRANTICA,59756,Thameen,Peregrina,https://www.fragrantica.com/p/59756,WEB_VERIFIED_FRAGRANTICA,1.0000,1.0000,PASS
177-TER,1880,Kirkè,VERIFIED,EXACT_PERFUME_BRAND_TEXT,32172,Tiziana Terenzi,Kirke,https://www.fragrantica.com/perfume/Tiziana-Terenzi/Kirke-32172.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
178-VIL,2127,Mango Skin,VERIFIED,EXACT_PERFUME_BRAND_TEXT,49305,Vilhelm Parfumerie,Mango Skin,https://www.fragrantica.com/perfume/Vilhelm-Parfumerie/Mango-Skin-49305.html,EXACT_PERFUME_BRAND_TEXT,1.0000,1.0000,PASS
179-XER,2118,1861 NAXOS,VERIFIED,SAFE_TOKEN_SAME_BRAND,30529,Xerjoff,XJ 1861 Naxos,https://www.fragrantica.com/perfume/Xerjoff/XJ-1861-Naxos-30529.html,SAFE_TOKEN_SAME_BRAND,0.9560,1.0000,PASS
180-XER,2207,1888,VERIFIED,EXACT_UNIQUE_NAME,104515,Fragrance World,Casamorati 1888,https://www.fragrantica.com/perfume/Fragrance-World/Casamorati-1888-104515.html,EXACT_UNIQUE_NAME,1.0000,1.0000,PASS
181-XER,1816,Alexandria II,VERIFIED,EXACT_BRAND_CLEAN_NAME,17786,Xerjoff,Alexandria II,https://www.fragrantica.com/perfume/Xerjoff/Alexandria-II-17786.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
182-XER,1418,Comandante,VERIFIED,EXACT_BRAND_CLEAN_NAME,16448,Xerjoff,Comandante,https://www.fragrantica.com/perfume/Xerjoff/Comandante-16448.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
183-XER,1417,Don,VERIFIED,EXACT_BRAND_CLEAN_NAME,26709,Xerjoff,Don,https://www.fragrantica.com/perfume/Xerjoff/Don-26709.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
184-YAS,,HUBOOB,NOT_FOUND,NO_CORPUS_CODE_MATCH,,,,,,,0.0000,NOT_MAPPED
185-AL HAR,2111,Red African,NOT_FOUND,NO_CORPUS_CODE_MATCH,,,,,,,0.0000,NOT_MAPPED
186-ARM,1136,AMBRE SOIE,VERIFIED,EXACT_BRAND_CLEAN_NAME,405,Giorgio Armani,Ambre Soie,https://www.fragrantica.com/perfume/Giorgio-Armani/Ambre-Soie-405.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
187-ARM,1138,BOIS D'ENCENS,VERIFIED,EXACT_BRAND_CLEAN_NAME,406,Giorgio Armani,Bois d Encens,https://www.fragrantica.com/perfume/Giorgio-Armani/Bois-d-Encens-406.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
188-ARM,1139,CUIR AMETHYSTE,VERIFIED,EXACT_BRAND_CLEAN_NAME,408,Giorgio Armani,Cuir Amethyste,https://www.fragrantica.com/perfume/Giorgio-Armani/Cuir-Amethyste-408.html,EXACT_BRAND_CLEAN_NAME,1.0000,1.0000,PASS
